batch,case,version,sample,seconds,output_tokens_per_second
1,a1,old,0,0.7507339837029576,170.49980789286565
1,a1,old,1,0.7508191801607609,170.48046105134583
1,a1,old,2,0.751233670860529,170.38639901933252
1,a1,old,3,0.750493255443871,170.55449742089394
1,a1,old,4,0.750501774251461,170.55256148816602
1,a1,old,5,0.7503267526626587,170.59234466286964
1,a1,old,6,0.751221970655024,170.38905277010346
1,a1,old,7,0.7504454888403416,170.56535338469095
1,a1,old,8,0.7501148283481598,170.6405408380886
1,a1,old,9,0.7503327578306198,170.5909793543823
1,a1,old,10,0.7513676611706614,170.35601425881276
1,a1,old,11,0.7507613822817802,170.4935856063495
1,a1,old,12,0.7507528495043516,170.4955233729793
1,a1,old,13,0.7507170094177127,170.50366302380988
1,a1,old,14,0.7503951378166676,170.576798208509
1,b1,new,0,0.7514506774023175,170.33719424205185
1,b1,new,1,0.7496666042134166,170.74256646966856
1,b1,new,2,0.7504618158563972,170.56164257195616
1,b1,new,3,0.7493175230920315,170.82210952683005
1,b1,new,4,0.7497975239530206,170.71275365803953
1,b1,new,5,0.7499030558392406,170.68872970086926
1,b1,new,6,0.7492297794669867,170.842114806303
1,b1,new,7,0.7492281859740615,170.84247816116118
1,b1,new,8,0.7496508779004216,170.74614833840377
1,b1,new,9,0.7497742446139455,170.71805402692442
1,b1,new,10,0.7493147198110819,170.82274859390392
1,b1,new,11,0.7499336088076234,170.6817756888066
1,b1,new,12,0.7493286086246371,170.81958239248186
1,b1,new,13,0.7497971560806036,170.71283741470998
1,b1,new,14,0.749585684388876,170.76099859665297
1,b2,new,0,0.7485761437565088,170.99128935323762
1,b2,new,1,0.7489827079698443,170.8984715374144
1,b2,new,2,0.7480752542614937,171.1057801615998
1,b2,new,3,0.748119025491178,171.0957690401758
1,b2,new,4,0.7484512785449624,171.01981607786183
1,b2,new,5,0.7494672629982233,170.78798010194535
1,b2,new,6,0.7482124045491219,171.07441579658615
1,b2,new,7,0.7481557102873921,171.08737959218521
1,b2,new,8,0.7484939657151699,171.01006268994934
1,b2,new,9,0.748055336996913,171.11033591961154
1,b2,new,10,0.7482318794354796,171.0699630929552
1,b2,new,11,0.7481579128652811,171.0868759107125
1,b2,new,12,0.748187217861414,171.0801747801435
1,b2,new,13,0.7493125898763537,170.82323416068806
1,b2,new,14,0.7479065414518118,171.14437821539917
1,a2,old,0,0.7528110733255744,170.02937992736298
1,a2,old,1,0.7518902160227299,170.23761883361243
1,a2,old,2,0.7524951277300715,170.1007691386874
1,a2,old,3,0.7515536099672318,170.31386490922569
1,a2,old,4,0.7518828473985195,170.23928720128964
1,a2,old,5,0.7518973732367158,170.23599836370548
1,a2,old,6,0.7523447424173355,170.13477038295926
1,a2,old,7,0.7535298708826303,169.86718768039026
1,a2,old,8,0.7521138088777661,170.18700958434684
1,a2,old,9,0.751895104534924,170.23651201875148
1,a2,old,10,0.7525662118569016,170.08470216084964
1,a2,old,11,0.7512443792074919,170.38397030674716
1,a2,old,12,0.7513247318565845,170.3657480883154
1,a2,old,13,0.7517203688621521,170.2760831048762
1,a2,old,14,0.7520974222570658,170.1907176012761
2,a1,old,0,0.9253606358543038,276.6488978252871
2,a1,old,1,0.9262151625007391,276.39366139160535
2,a1,old,2,0.9271075194701552,276.1276277279088
2,a1,old,3,0.9256586479023099,276.55983183448546
2,a1,old,4,0.9270826615393162,276.135031556885
2,a1,old,5,0.9271032363176346,276.1289034183588
2,a1,old,6,0.9254955146461725,276.6085798890897
2,a1,old,7,0.9264084594324231,276.33599131515047
2,a1,old,8,0.9261240428313613,276.4208552640019
2,a1,old,9,0.9261247674003243,276.4206390015937
2,a1,old,10,0.9270815197378397,276.13537164713597
2,a1,old,11,0.9255994902923703,276.57750753421107
2,a1,old,12,0.9268890088424087,276.1927237865495
2,a1,old,13,0.9265843750908971,276.28352784913585
2,a1,old,14,0.9264490688219666,276.32387857598985
2,b1,new,0,0.9262569267302752,276.3811990088867
2,b1,new,1,0.9252548469230533,276.68052845260013
2,b1,new,2,0.9252472473308444,276.682800990232
2,b1,new,3,0.9234747411683202,277.2138625861336
2,b1,new,4,0.9255028087645769,276.6063998679009
2,b1,new,5,0.9249233286827803,276.7796984476321
2,b1,new,6,0.9242234593257308,276.98929021642164
2,b1,new,7,0.9240912534296513,277.0289179232975
2,b1,new,8,0.9236407671123743,277.16403293928437
2,b1,new,9,0.9247398898005486,276.83460270672987
2,b1,new,10,0.9248224971815944,276.80987517081655
2,b1,new,11,0.9242033092305064,276.9953293211492
2,b1,new,12,0.9239270780235529,277.0781440323519
2,b1,new,13,0.923311653546989,277.2628277966078
2,b1,new,14,0.9243892887607217,276.9396001366537
2,b2,new,0,0.9227807577699423,277.4223431128623
2,b2,new,1,0.923805414699018,277.1146346694737
2,b2,new,2,0.9239615434780717,277.067808511097
2,b2,new,3,0.92367725353688,277.15308460800867
2,b2,new,4,0.9245579093694687,276.88909197108836
2,b2,new,5,0.9314060788601637,274.85326305072834
2,b2,new,6,0.9244442982599139,276.9231207135682
2,b2,new,7,0.9238415136933327,277.10380644896924
2,b2,new,8,0.9246049029752612,276.8750189148084
2,b2,new,9,0.9243866680189967,276.9403852920335
2,b2,new,10,0.9242721404880285,276.97470126582897
2,b2,new,11,0.9249564139172435,276.7697981744084
2,b2,new,12,0.9241226771846414,277.01949786570464
2,b2,new,13,0.923959014005959,277.0685670244989
2,b2,new,14,0.9238432887941599,277.1032740132174
2,a2,old,0,0.9281162759289145,275.8275085131761
2,a2,old,1,0.9273776095360518,276.04720813571464
2,a2,old,2,0.9272986333817244,276.07071851966924
2,a2,old,3,0.9271098170429468,276.12694342566886
2,a2,old,4,0.9268893208354712,276.1926308194478
2,a2,old,5,0.9271295806393027,276.1210572350362
2,a2,old,6,0.9276390429586172,275.96941067024534
2,a2,old,7,0.9266595439985394,276.26111624055477
2,a2,old,8,0.926777427084744,276.225976721584
2,a2,old,9,0.928814928047359,275.62003179490983
2,a2,old,10,0.9279527524486184,275.87611473157943
2,a2,old,11,0.9283454921096563,275.7594044198377
2,a2,old,12,0.9263227069750428,276.3615725625273
2,a2,old,13,0.9270148947834969,276.1552176136161
2,a2,old,14,0.9267631331458688,276.23023709522835
4,a1,old,0,1.0691273994743824,478.89521889693947
4,a1,old,1,1.0614377446472645,482.36460648019175
4,a1,old,2,1.0620098980143666,482.10473457665813
4,a1,old,3,1.0624281940981746,481.9149217275838
4,a1,old,4,1.0635758163407445,481.3949246811074
4,a1,old,5,1.0604091295972466,482.8325084248024
4,a1,old,6,1.0611199475824833,482.50907087975656
4,a1,old,7,1.0613682651892304,482.396183108712
4,a1,old,8,1.0643620900809765,481.0393049239917
4,a1,old,9,1.0620171455666423,482.1014445363035
4,a1,old,10,1.0626102583482862,481.83235196303224
4,a1,old,11,1.06197015568614,482.1227764816011
4,a1,old,12,1.0624385382980108,481.9102296686319
4,a1,old,13,1.061718039214611,482.23726176748755
4,a1,old,14,1.0623894976451993,481.93247498667387
4,b1,new,0,1.0583123043179512,483.78914041821315
4,b1,new,1,1.0587003827095032,483.611802132018
4,b1,new,2,1.0595893962308764,483.206043606385
4,b1,new,3,1.0589739857241511,483.4868532203673
4,b1,new,4,1.0713346526026726,477.9085589700291
4,b1,new,5,1.0601249346509576,482.9619446396421
4,b1,new,6,1.0588561547920108,483.540656285434
4,b1,new,7,1.0597835425287485,483.1175230163674
4,b1,new,8,1.0601159138604999,482.9660542831676
4,b1,new,9,1.0574993081390858,484.16107325969057
4,b1,new,10,1.0600854465737939,482.9799349239147
4,b1,new,11,1.0598594471812248,483.08292327034695
4,b1,new,12,1.0586761105805635,483.62288983665286
4,b1,new,13,1.0588028626516461,483.5649940705267
4,b1,new,14,1.0591197470203042,483.4203133691403
4,b2,new,0,1.0551909562200308,485.22023144902374
4,b2,new,1,1.0570695456117392,484.3579139381026
4,b2,new,2,1.0563987791538239,484.6654597708948
4,b2,new,3,1.057642518542707,484.0955152838116
4,b2,new,4,1.058163484558463,483.8571803615401
4,b2,new,5,1.059135103598237,483.41330417674226
4,b2,new,6,1.059230430983007,483.3697985100788
4,b2,new,7,1.0582958124578,483.7966795039324
4,b2,new,8,1.0586320795118809,483.64300488237177
4,b2,new,9,1.0576892839744687,484.0741111378784
4,b2,new,10,1.0580665823072195,483.9014940662175
4,b2,new,11,1.0577002158388495,484.0691079881636
4,b2,new,12,1.0579813132062554,483.9404946088917
4,b2,new,13,1.0579960010945797,483.93377618657905
4,b2,new,14,1.0578755112364888,483.9888952543699
4,a2,old,0,1.059751813299954,483.1319876733088
4,a2,old,1,1.0585257960483432,483.69156605477457
4,a2,old,2,1.0596750797703862,483.16697238076205
4,a2,old,3,1.058758219704032,483.5853837745183
4,a2,old,4,1.0591307180002332,483.415305871515
4,a2,old,5,1.0594062646850944,483.28957177933114
4,a2,old,6,1.0594138465821743,483.28611302541276
4,a2,old,7,1.0599580220878124,483.03799710059013
4,a2,old,8,1.0602651266381145,482.89808571130516
4,a2,old,9,1.0599695816636086,483.0327292943847
4,a2,old,10,1.059622846543789,483.19078969466295
4,a2,old,11,1.0619955426082015,482.1112513735761
4,a2,old,12,1.05940783303231,483.28885631751314
4,a2,old,13,1.0631166696548462,481.6028330796723
4,a2,old,14,1.0601901160553098,482.93225172200073
8,a1,old,0,1.226009538397193,835.2300434291177
8,a1,old,1,1.226758542470634,834.7200892016714
8,a1,old,2,1.225072594359517,835.8688331734004
8,a1,old,3,1.225648301653564,835.4762117472742
8,a1,old,4,1.226312292739749,835.0238402260849
8,a1,old,5,1.226199752651155,835.100478356825
8,a1,old,6,1.2253526076674461,835.6778233403882
8,a1,old,7,1.2252965429797769,835.7160606278645
8,a1,old,8,1.2251620329916477,835.8078135179862
8,a1,old,9,1.2260126071050763,835.2279528494582
8,a1,old,10,1.2265102062374353,834.8890981847793
8,a1,old,11,1.2267638631165028,834.7164689042958
8,a1,old,12,1.227661183103919,834.1063593873689
8,a1,old,13,1.2273492179811,834.3183708418418
8,a1,old,14,1.2264871513471007,834.9047920113139
8,b1,new,0,1.2477754494175315,820.6604806001022
8,b1,new,1,1.2472900850698352,820.9798283954664
8,b1,new,2,1.2478541806340218,820.6087024364627
8,b1,new,3,1.2470331098884344,821.1490070954186
8,b1,new,4,1.2469385117292404,821.2113030176029
8,b1,new,5,1.2478944109752774,820.5822471788335
8,b1,new,6,1.2486611055210233,820.078398752334
8,b1,new,7,1.2520691063255072,817.8462313515347
8,b1,new,8,1.24734765291214,820.9419383676253
8,b1,new,9,1.2483876598998904,820.258027928693
8,b1,new,10,1.2475309604778886,820.821312208347
8,b1,new,11,1.2549350820481777,815.9784634665971
8,b1,new,12,1.2472574636340141,821.0013007390388
8,b1,new,13,1.2473589787259698,820.9344843502031
8,b1,new,14,1.2499201986938715,819.2523019229938
8,b2,new,0,1.2458113776519895,821.9542848693173
8,b2,new,1,1.2459006905555725,821.8953627382432
8,b2,new,2,1.2457713009789586,821.9807272774023
8,b2,new,3,1.2457759687677026,821.9776474039076
8,b2,new,4,1.2459193523973227,821.8830520849373
8,b2,new,5,1.244615925475955,822.7437710219006
8,b2,new,6,1.2458209125325084,821.947994048687
8,b2,new,7,1.2458955738693476,821.8987381260117
8,b2,new,8,1.2451486522331834,822.3917667689302
8,b2,new,9,1.2495260434225202,819.5107300006393
8,b2,new,10,1.245030539110303,822.4697851441853
8,b2,new,11,1.244705505669117,822.684558986929
8,b2,new,12,1.2455219477415085,822.1452876497344
8,b2,new,13,1.2450625989586115,822.448606886504
8,b2,new,14,1.2456917176023126,822.0332410742674
8,a2,old,0,1.2289025783538818,833.2637737416505
8,a2,old,1,1.2293194513767958,832.981206677528
8,a2,old,2,1.2289449954405427,833.2350136085012
8,a2,old,3,1.229205003939569,833.0587629550055
8,a2,old,4,1.2291557267308235,833.092160521861
8,a2,old,5,1.229240140877664,833.0349505743241
8,a2,old,6,1.2292055850848556,833.0583691004873
8,a2,old,7,1.229811062105,832.6482266692865
8,a2,old,8,1.2288724854588509,833.2841788850426
8,a2,old,9,1.2289866786450148,833.2067530048274
8,a2,old,10,1.2293646009638906,832.9506146485159
8,a2,old,11,1.2293603187426925,832.9535160588872
8,a2,old,12,1.2298389226198196,832.6293640297716
8,a2,old,13,1.2295687925070524,832.8122885358011
8,a2,old,14,1.229839383624494,832.6290519190733
16,a1,old,0,1.393852500244975,1469.3089832963358
16,a1,old,1,1.3929354334250093,1470.2763321658708
16,a1,old,2,1.393274074420333,1469.9189754550364
16,a1,old,3,1.393267028965056,1469.9264085229172
16,a1,old,4,1.3980026105418801,1464.9471929141637
16,a1,old,5,1.3977927453815937,1465.1671406699863
16,a1,old,6,1.3966808905825019,1466.3335152712357
16,a1,old,7,1.3966251108795404,1466.3920790528025
16,a1,old,8,1.3947343798354268,1468.3799507700212
16,a1,old,9,1.3965328363701701,1466.4889694417107
16,a1,old,10,1.3963011903688312,1466.732259577193
16,a1,old,11,1.396621854044497,1466.3954985876583
16,a1,old,12,1.397816013544798,1465.1427513742422
16,a1,old,13,1.3971819654107094,1465.807640451456
16,a1,old,14,1.3970588594675064,1465.9368043953439
16,b1,new,0,1.3490462861955166,1518.1095125917602
16,b1,new,1,1.3460006238892674,1521.5446142085032
16,b1,new,2,1.345337277278304,1522.2948435229741
