variant,case,trace_sha256,gpu_uuid,mode,planned,completed,errors,client_pass,server_pass,token_accounting_pass,duration_s,planned_duration_s,last_arrival_s,overhang_s,output_tok_s,input_tok_s,request_throughput,offered_request_throughput,offered_input_tok_s,offered_output_tok_s,actual_input_tokens,actual_output_tokens,osl_mismatch,schedule_degraded,schedule_lag_p99_ms,effective_concurrency_max,max_running,max_waiting,cache_hit_pct,prefix_counter_hit_pct,max_kv_cache_usage_pct,kv_capacity_tokens,preemptions,metrics_max_gap_s,final_running,final_waiting,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
before,before-long,680e526d49545258c0ca5b635d0004a44cce2ce990d533ac32024cefee1f0170,GPU-14379c29-e601-fc6d-b27c-4fd778ab772a,fast,3643,3643,0,True,True,True,623.622738176,600.0,599.999,23.622738175999984,1031.6463878150394,48941.971690437924,5.841519783656792,6.071666666666666,50864.121666666666,1072.2916666666667,30522126,643375,0.0,0.0,12.365829119999992,216.0,210.0,21.0,37.45290875216229,37.45290875216229,30.883201237834477,1608309,0.0,0.99760824,0.0,0.0,1588.5212669999999,2842.826425399998,3296.5938874599997,86.04361281876338,272.475899875,475.737745625,4691.939812,62491.81884029999,91350.26309785998
candidate,candidate-long,680e526d49545258c0ca5b635d0004a44cce2ce990d533ac32024cefee1f0170,GPU-14379c29-e601-fc6d-b27c-4fd778ab772a,fast,3643,3643,0,True,True,True,620.255126528,600.0,599.999,20.255126528000005,1037.2496530153285,49207.79421455626,5.873247306679373,6.071666666666666,50864.121666666666,1072.2916666666667,30522126,643375,0.0,0.0,11.212318719999992,213.0,206.0,21.0,37.296903891950386,37.296903891950386,30.312919671207762,1608309,0.0,0.707646053,0.0,0.0,1578.194045,2845.0462063999917,3345.19155462,81.88712080329546,289.994722875,478.11064362499997,4523.650044,60202.67200189999,86938.20497933998
