mode,topology,speedup,case,source_directory,source_commit,trace_sha256,cache_salt,measured_start_utc,measured_end_utc,active_gpus,planned,completed,errors,arrival_span_s,offered_req_s,offered_input_tok_s,offered_output_tok_s,achieved_req_s,achieved_input_tok_s,achieved_output_tok_s,output_tok_s_per_active_gpu,actual_prompt_tokens,actual_output_tokens,measured_duration_s,overhang_from_first_send_s,schedule_lag_p99_ms,schedule_degraded,concurrency_max,client_pass,token_accounting_pass,server_pass,transfer_pass,drained,diagnostic,manifest_sha256,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
fast,standalone,1.0,standalone-fast-r1-long600s,fast-mooncake-20260908,416b83d83504af902b8da248452a19cc5d56b5db,680e526d49545258c0ca5b635d0004a44cce2ce990d533ac32024cefee1f0170,fast-mooncake-20260908-standalone-fast-r1-long600s,2026-09-08T07:15:40+00:00,2026-09-08T07:25:59+00:00,1,3643,3643,0,599.999,6.071676786127977,50864.20644034407,1072.293453822423,5.882176256989475,49282.60358771374,1038.8265576010442,1038.8265576010442,30522126.0,643375.0,619.31595008,19.316950155258155,9.586524159999998,0.0,211.0,True,True,True,True,True,True,695094827a1c6bf7988e80a274c30724c46208d4de831d532aedb783f7f1e6d5,1537.706404,2671.7832406999996,3319.26969838,80.49619336968308,298.651455875,477.41891124999995,4474.132375,60059.988558599995,86883.30104269997
fast,pd,1.0,pd-fast-r1-long600s,fast-mooncake-20260908,416b83d83504af902b8da248452a19cc5d56b5db,680e526d49545258c0ca5b635d0004a44cce2ce990d533ac32024cefee1f0170,fast-mooncake-20260908-pd-fast-r1-long600s,2026-09-08T07:35:57+00:00,2026-09-08T07:46:12+00:00,2,3643,3643,0,599.999,6.071676786127977,50864.20644034407,1072.293453822423,5.927199187653079,49659.8189493947,1046.777869161762,523.388934580881,30522126.0,643375.0,614.611725568,14.612725568771339,13.352755199999999,0.0,115.0,True,True,True,True,True,True,7e71de5924355dcff5185e4d348f0c10d949d4a1d140b3c39849fa6d0eeb144e,2153.747492,6489.541539199944,12824.232229119994,18.169177641876427,22.587565544642857,25.723567125,3578.1459379999997,15467.12618679999,24001.88632253999
fast,standalone,1.2,standalone-fast-r1-long500s,fast-mooncake-f1p2-20260908,8c74b459542ff6b03cab9f355daabc47e80990b5,5317e2301656c7d5441bbd63e58b7e8b9d3d445e0118729cd7fde0b8717b960c,fast-mooncake-f1p2-20260908-standalone-fast-r1-long500s,2026-09-08T09:23:58+00:00,2026-09-08T09:32:59+00:00,1,3643,3642,1,499.99916666666667,7.286012143353572,61037.04772841288,1286.7521445869077,6.736794099521463,56456.66524058113,1190.065221262665,1190.065221262665,30521220.0,643365.0,540.5971056640001,40.59793907483419,10.071142400000001,0.0,362.0,False,False,True,True,True,True,ce856600e2cb8747bc0942f9d50d08e0bbc19be0c658c4c4de7a01c6de7c030c,2108.6206345,10222.0835218,13205.79853035,154.90471091044773,338.66363759999996,510.48636079999994,9327.9695485,98452.09386894995,138930.18771243005
fast,pd,1.2,pd-fast-r1-long500s,fast-mooncake-f1p2-20260908,8c74b459542ff6b03cab9f355daabc47e80990b5,5317e2301656c7d5441bbd63e58b7e8b9d3d445e0118729cd7fde0b8717b960c,fast-mooncake-f1p2-20260908-pd-fast-r1-long500s,2026-09-08T09:43:22+00:00,2026-09-08T09:51:59+00:00,2,3643,3643,0,499.99916666666667,7.286012143353572,61037.04772841288,1286.7521445869077,7.048321644471528,59052.91086268613,1244.7746192730908,622.3873096365454,30522125.0,643375.0,516.84795264,16.848785937627156,7.861079039999996,0.0,108.0,True,True,True,True,True,True,954deb0940c9c2d246ce65e6699d0a2246fc885c2d7f235a6556fa14ddd787b4,2598.9669329999997,5274.002716099999,6247.282537939999,20.299657110981585,24.332411832603167,25.9703345,4368.544492,16094.884797199978,22738.758027259995
