name,topology,active_gpus,planned,completed,errors,input_tok_s,output_tok_s,output_tok_s_per_active_gpu,output_tok_s_per_allocated_gpu,ttft_p95_ms,itl_p95_ms,e2e_p95_ms,ttft_p99_ms,itl_p99_ms,e2e_p99_ms,schedule_lag_p99_ms,concurrency_max,client_pass,server_pass,overhang_seconds
standalone-fast-r1-long600s,standalone,1,3643,3643,0,49282.60358771374,1038.8265576010442,1038.8265576010442,259.70663940026105,2671.7832406999996,298.651455875,60059.988558599995,3319.26969838,477.41891124999995,86883.30104269997,9.586524159999998,211.0,True,True,19.316950155258155
pd-fast-r1-long600s,pd,2,3643,3643,0,49659.8189493947,1046.777869161762,523.388934580881,261.6944672904405,6489.541539199944,22.587565544642857,15467.12618679999,12824.232229119994,25.723567125,24001.88632253999,13.352755199999999,115.0,True,True,14.612725568771339
