label,topology,measured_at_utc,planned,completed,errors,input_tok_s,output_tok_s,ttft_p95_ms,itl_p95_ms,e2e_p95_ms,client_pass,server_pass
Old Fast,standalone,2026-09-07T12:44:36+00:00,3643,3643,0,49208.93778700654,1037.273758345514,2656.2040862,311.55606862499997,61470.51500589994,True,True
Current Fast,standalone,2026-09-08T07:15:16+00:00,3643,3643,0,49282.60358771374,1038.8265576010442,2671.7832406999996,298.651455875,60059.988558599995,True,True
qwen3,standalone,2026-09-07T10:28:53+00:00,3643,3643,0,44096.975946491286,929.6298213634612,77637.16652719997,183.5719406910714,104696.63872449998,False,True
align,standalone,2026-09-07T08:56:01+00:00,3643,3638,5,29389.123195022188,612.8277120601364,89295.66483714999,725.7044095,282746.0296802498,False,True
Old Fast,pd,2026-09-07T13:05:53+00:00,3643,3643,0,49607.836809099885,1045.682139148978,3895.1433301999996,22.583175941516597,14174.089144999998,True,True
Current Fast,pd,2026-09-08T07:35:28+00:00,3643,3643,0,49659.8189493947,1046.777869161762,6489.541539199944,22.587565544642857,15467.12618679999,True,True
qwen3,pd,2026-09-07T10:49:49+00:00,3643,3643,0,49376.47848393463,1040.9295850190667,3572.5794078,46.04594301566037,25220.12080019998,True,True
align,pd,2026-09-07T08:36:02+00:00,3643,3643,0,39222.22809799908,826.764197308869,108830.67946079998,59.82220327301387,124511.56513559999,False,True
