variant,case,trace_sha256,gpu_uuid,mode,planned,completed,errors,client_pass,server_pass,token_accounting_pass,duration_s,planned_duration_s,last_arrival_s,overhang_s,output_tok_s,input_tok_s,request_throughput,offered_request_throughput,offered_input_tok_s,offered_output_tok_s,actual_input_tokens,actual_output_tokens,osl_mismatch,schedule_degraded,schedule_lag_p99_ms,effective_concurrency_max,max_running,max_waiting,cache_hit_pct,prefix_counter_hit_pct,max_kv_cache_usage_pct,kv_capacity_tokens,preemptions,metrics_max_gap_s,final_running,final_waiting,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
before,before-long,680e526d49545258c0ca5b635d0004a44cce2ce990d533ac32024cefee1f0170,GPU-14379c29-e601-fc6d-b27c-4fd778ab772a,fast,3643,3643,0,True,True,True,625.0600593920001,600.0,599.999,25.060059392000085,1029.2749709308612,48829.470140117475,5.828092044454832,6.071666666666666,50864.121666666666,1072.2916666666667,30522126,643375,0.0,0.0,7.509207039999998,225.0,216.0,28.0,37.45290875216229,37.45290875216229,31.61373193993906,1599343,0.0,0.732840712,0.0,0.0,1634.6747369999998,2949.1843591999996,3425.46834936,93.28184252534501,306.0571740065789,497.117723125,4935.338793999999,66285.03573919999,97587.91798389996
candidate,candidate-long-r2,680e526d49545258c0ca5b635d0004a44cce2ce990d533ac32024cefee1f0170,GPU-14379c29-e601-fc6d-b27c-4fd778ab772a,fast,3643,3643,0,True,True,True,623.430209792,600.0,599.999,23.430209792000028,1031.9661165388713,48957.13982782999,5.843330192424494,6.071666666666666,50864.121666666666,1072.2916666666667,30522126,643375,0.0,0.0,6.558479359999999,217.0,210.0,22.0,37.296903891950386,37.296903891950386,30.77703219832497,1608309,0.0,0.689625267,0.0,0.0,1578.7241589999999,2833.5704529,3249.887981259996,87.69172623426574,311.707398125,477.64969099999996,4690.691987,63022.04037999996,92151.05013309997
