name,batch,isl,osl,before_samples,after_samples,before_ms,after_ms,throughput_change_pct,before_input_tok_s,after_input_tok_s,before_output_tok_s,after_output_tok_s,pair1_change_pct,pair2_change_pct,before_ttft_ms,before_tpot_ms,before_min_ms,before_max_ms,after_ttft_ms,after_tpot_ms,after_min_ms,after_max_ms
decode-b1,1,128,128,8,8,800.7039958611131,803.7028876133263,-0.373134375704276,159.85932462138277,159.2628345284517,159.85932462138277,159.2628345284517,-0.588080541663949,-0.332798585665528,31.328320503234863,6.05888120595395,799.8584602028131,801.5878833830357,31.29100799560547,6.079683820973701,802.9512343928218,805.6931523606181
decode-b8,8,128,128,8,8,1332.2815969586372,1327.5501183234155,0.35640678042325735,768.6062783855984,771.3456432765237,768.6062783855984,771.3456432765237,2.669993716938124,-2.2938340570208604,116.17007851600647,9.530885167984572,1322.3211877048016,1469.5429718121886,114.82122540473938,9.522504660421909,1313.2672989740968,1458.8139886036515
decode-b64,64,128,64,8,8,1172.4823853000998,1155.9492363594472,1.430266003092151,6986.885349158773,7086.816394982819,3493.4426745793867,3543.4081974914093,0.7807966322492366,3.8325620121322013,227.28485986590385,15.004854958475796,1164.0665475279093,1246.6779304668307,207.75138400495052,15.038864943014072,1150.2360925078392,1245.0618958100677
decode-b128,128,128,64,8,8,1546.4459611102939,1544.9796156026423,0.09491034657305164,10594.615274003409,10604.670660078047,5297.307637001704,5302.335330039024,-0.13496920142335167,0.3682170090017367,354.410826228559,18.7853035965259,1543.5726260766387,1632.8901154920459,343.00435055047274,18.967073446667257,1530.9122651815414,1630.5665858089924
prefill-1k-b1,1,1024,1,8,8,85.85123531520367,78.81568092852831,8.92659214992426,11927.609384307329,12992.338427280536,11.648056039362626,12.687830495391148,2.8953400097379456,8.576000903306923,85.69204807281494,,85.35377215594053,87.2623585164547,78.64749431610107,,78.44217866659164,84.51757114380598
prefill-1k-b8,8,1024,1,8,8,212.85029500722885,198.5319028608501,7.2121366591718195,38487.14421430227,41262.88965125029,37.58510177177956,40.29579067504911,5.312840109191175,6.825164647683257,210.0144326686859,,199.13725648075342,216.59640409052372,195.64488530158997,,195.97038812935352,203.92458979040384
prefill-4k-b1,1,4096,1,8,8,89.7873598150909,82.86416530609131,8.354871473605098,45618.893443746965,49430.29335865288,11.137425157164786,12.067942714514864,10.547288356076123,10.739344170450394,89.69414234161377,,89.26747087389231,92.0244324952364,82.77392387390137,,79.9528369680047,89.48446530848742
prefill-4k-b8,8,4096,1,8,8,564.7368924692273,536.40346089378,5.282111999843719,58023.48037991079,61088.34559978502,14.165888764626658,14.914146874947514,6.062890674240751,4.970413568144094,486.4075481891632,,544.618503190577,568.5185072943568,457.1826905012131,,532.2635686025023,547.7075343951583
